_id,make,model,year,body_type,fuel,mpgCityHwy,seats,doors
1,Chevrolet,Silverado 1500 LT,2015,truck,gasoline,"[16,22]",5,4
2,Ford,F-150 XLT,2019,truck,gasoline,"[18,23]",5,4
3,Chevrolet,Avalanche 1500 LT,2013,truck,flex,"[15,21]",5,4
4,Cadillac,Escalade EXT,2010,truck,flex,"[13,20]",5,4
5,Ford,F-150 Raptor,2010,truck,gasoline,"[15,18]",5,4
6,Nissan,Frontier SV,2011,truck,gasoline,"[17,22]",5,2
7,Toyota,Tacoma TRD Sport,2018,truck,gasoline,"[18,22]",5,4
8,GMC,Sierra 1500 SLE,2015,truck,gasoline,"[16,22]",5,4
9,Toyota,Tundra,2016,truck,gasoline,"[13,17]",5,4
10,GMC,Sierra 2500HD AT4,2020,truck,diesel,"[16,22]",5,4
11,GMC,Canyon,2017,truck,gasoline,"[22,30]",5,4
12,Honda,Ridgeline,2021,truck,gasoline,"[18,24]",5,4
13,Jeep,Gladiator,2020,truck,gasoline,"[17,22]",5,4
14,Nissan,Titan,2019,truck,gasoline,"[15,21]",5,4
15,Ram,1500 SLT Big Horn,2018,truck,flex,"[16,23]",5,4
16,Ram,2500 Power Wagon,2015,truck,flex,"[11,15]",5,4
17,Rivian,R1T,2022,truck,electric,400 miles/charge,5,4
18,Hyundai,Sonata,2014,sedan,gasoline,"[24,35]",5,4
19,Chevrolet,Malibu,2013,sedan,gasoline,"[25,37]",5,4
20,Nissan,Altima,2016,sedan,gasoline,"[27,39]",5,4
21,Tesla,Model 3,2020,sedan,electric,353 miles/charge,5,4
22,Chevrolet,Sonic,2020,sedan,gasoline,"[26,34]",5,4
23,Kia,K5,2021,sedan,gasoline,"[29,38]",5,4
24,Dodge,Charger R/T,2015,sedan,gasoline,"[16,25]",5,4
25,Subaru,Legacy,2013,sedan,gasoline,"[24,32]",5,4
26,Volvo,S60,2014,sedan,gasoline,"[21,30]",5,4
27,Audi,A4,2018,sedan,gasoline,"[27,37]",5,4
28,Genesis,G80,2021,luxury sedan,gasoline,"[23,32]",5,4
29,Mitsubishi,Mirage G4,2021,sedan,gasoline,"[35,41]",5,4
30,Kia,Cadenza,2018,sedan,gasoline,"[20,28]",5,4
31,Lexus,ES,2016,luxury sedan,gasoline,"[40,39]",5,4
32,Lexus,IS,2013,luxury sedan,gasoline,"[21,30]",5,4
33,Dodge,Dart SXT,2014,sedan,gasoline,"[23,35]",5,4
34,Cadillac,ATS,2019,luxury sedan,gasoline,"[22,30]",4,2
35,Hyundai,Azera,2017,luxury sedan,gasoline,"[20,28]",5,4
36,Ford,Focus,2016,compact,flex,"[30,42]",5,4
37,Toyota,Prius,2014,compact,hybrid,"[51,48]",5,4
38,Honda,Civic,2016,compact,gasoline,"[31,42]",5,2
